,Unnamed: 0,index,heartrate,steps_window_12,anomaly
30,30,2024-08-13 06:00:00,1.742302627979348,0.1117997108529606,-1
32,32,2024-08-13 08:00:00,1.6488953398967423,0.1206026677859599,-1
35,35,2024-08-13 12:00:00,1.444715595023001,0.1519160431619154,-1
41,41,2024-08-14 01:00:00,1.5614935362120004,0.3151480160052469,-1
45,45,2024-08-14 05:00:00,1.5327067741137008,0.2833316145188346,-1
46,46,2024-08-14 06:00:00,1.4309672068251031,0.2833316145188346,-1
49,49,2024-08-14 09:00:00,1.1722729748741816,0.3829307843893426,-1
56,56,2024-08-14 20:00:00,-0.302767097759469,1.964462840884724,-1
57,57,2024-08-14 21:00:00,-0.92706019054931,2.57882606250146,-1
59,59,2024-08-15 02:00:00,-0.7923629188783559,2.262272263493564,-1
62,62,2024-08-15 06:00:00,-0.4320183221047697,1.8348653496127416,-1
64,64,2024-08-15 08:00:00,-0.1863836809049775,1.1866407523721887,-1
67,67,2024-08-15 15:00:00,-0.2680627825359431,1.2008198008606987,-1
68,68,2024-08-15 16:00:00,-0.3916610655388394,1.3341750299641888,-1
69,69,2024-08-15 17:00:00,-0.5655142298725125,1.4589822324868584,-1
76,76,2024-08-16 00:00:00,-0.600385514257127,1.370622552271876,-1
78,78,2024-08-16 02:00:00,-0.5289746426808687,1.3567893342343054,-1
79,79,2024-08-16 03:00:00,-0.5470179700034932,1.3271631922705085,-1
82,82,2024-08-16 06:00:00,-0.6031064357840864,1.1524035377292003,-1
85,85,2024-08-16 11:00:00,-0.8775377926792911,1.1877328485330485,-1
89,89,2024-08-16 15:00:00,-0.0996790884261799,0.906545753547462,-1
90,90,2024-08-16 17:00:00,0.1315784436118593,0.6976364947440713,-1
91,91,2024-08-16 19:00:00,0.4357253125152239,0.3459269261388408,-1
111,111,2024-08-18 05:00:00,0.3522219150002639,0.5350961828026174,-1
113,113,2024-08-18 08:00:00,0.3213083041406804,0.5627626188777592,-1
117,117,2024-08-18 17:00:00,-0.7118224225898099,2.159604211638249,-1
118,118,2024-08-18 20:00:00,-1.0806352181863517,2.2258612574446714,-1
120,120,2024-08-19 01:00:00,-1.1921256920953498,2.233815357816275,-1
134,134,2024-08-19 18:00:00,-0.8730369142983876,1.684743011094247,-1
140,140,2024-08-20 03:00:00,-0.4301562530093336,1.4578871027255509,-1
146,146,2024-08-20 10:00:00,-0.3915192983228345,1.0606047658076578,-1
147,147,2024-08-20 12:00:00,-0.3443031958929765,1.2033943164399137,-1
148,148,2024-08-20 13:00:00,-0.2829095374377695,1.02931095255822,-1
150,150,2024-08-20 15:00:00,-1.789846029142202,2.2216421259432138,-1
152,152,2024-08-20 18:00:00,-1.931709426361534,2.273793357944854,-1
153,153,2024-08-20 23:00:00,-1.709366177384763,1.7705408857380385,-1
155,155,2024-08-21 01:00:00,-1.3921488766788097,1.346276088525752,-1
159,159,2024-08-21 06:00:00,-0.5452221689670265,0.9546379241420776,-1
162,162,2024-08-21 09:00:00,-0.841917400956381,0.9220804574036524,-1
164,164,2024-08-21 11:00:00,-0.9998693755940304,0.8325103706103839,-1
169,169,2024-08-22 00:00:00,-1.6122552205423093,1.3108630503495715,-1
176,176,2024-08-22 08:00:00,-1.7941134437012884,1.4175566848993475,-1
177,177,2024-08-22 09:00:00,-2.079830054416873,1.6524249654372398,-1
180,180,2024-08-22 17:00:00,-2.1503153687716816,2.275315011928987,-1
181,181,2024-08-23 01:00:00,-2.102079368971618,2.275315011928987,-1
182,182,2024-08-23 02:00:00,-1.9662629715496245,2.178284868265457,-1
184,184,2024-08-23 04:00:00,-1.6123124752567075,1.8225735472993576,-1
192,192,2024-08-23 13:00:00,0.8299668588146881,0.0868999183853342,-1
200,200,2024-08-24 01:00:00,0.4749342929640907,0.0969086584948698,-1
291,291,2024-08-29 20:00:00,0.397529681056567,0.4347325456195072,-1
302,302,2024-08-30 16:00:00,0.3207118609663004,1.6190671482266423,-1
304,304,2024-08-30 22:00:00,0.1786887524041053,2.116405919722395,-1
306,306,2024-08-31 01:00:00,0.1758578698929809,2.330647884079269,-1
314,314,2024-08-31 12:00:00,0.7626569738719675,1.910641474798008,-1
317,317,2024-08-31 16:00:00,0.8722923602214526,1.4526641761716204,-1
322,322,2024-09-01 00:00:00,0.54964614994166,1.3884081183201806,-1
328,328,2024-09-01 07:00:00,0.0296982325496238,1.222607119269873,-1
332,332,2024-09-01 12:00:00,0.1748330980318144,0.938334488597798,-1
413,413,2024-09-06 23:00:00,-0.9201165456658932,0.5848957677378716,-1
418,418,2024-09-07 05:00:00,-1.145540719157235,0.6485285707106965,-1
425,425,2024-09-07 16:00:00,-0.644614584801384,0.5608413385947638,-1
427,427,2024-09-07 18:00:00,-0.3636988340289854,0.3323242617352308,-1
428,428,2024-09-07 19:00:00,-0.1794100418311544,0.2071425059426777,-1
532,532,2024-09-13 18:00:00,-1.1527280833702716,0.0377919943519584,-1
534,534,2024-09-13 22:00:00,-1.1067138890857544,0.0762944512231962,-1
548,548,2024-09-14 17:00:00,-1.1942518336631756,0.2294142344468153,-1
549,549,2024-09-14 18:00:00,-1.5990899357276882,0.8551622651469056,-1
552,552,2024-09-14 23:00:00,-1.685272008550319,1.214952738622416,-1
555,555,2024-09-15 02:00:00,-1.259275717267747,0.8909557168191192,-1
560,560,2024-09-15 10:00:00,-1.0045448866890785,0.612562203813013,-1
564,564,2024-09-15 14:00:00,-1.2889208543682362,0.6983281556459497,-1
568,568,2024-09-16 01:00:00,-1.4162238873985291,0.7930228209395004,-1
571,571,2024-09-16 04:00:00,-1.0501174969246807,0.557624566463804,-1
572,572,2024-09-16 05:00:00,-0.9084939013404284,0.4440274973886123,-1
573,573,2024-09-16 06:00:00,-0.7708117608981893,0.2316876005119055,-1
575,575,2024-09-16 08:00:00,-0.5735802504466098,0.0753393004539351,-1
581,581,2024-09-16 16:00:00,-0.4045146989450518,0.1876134308199791,-1
582,582,2024-09-16 17:00:00,-0.8202183375770706,0.4534801963809519,-1
590,590,2024-09-17 04:00:00,-0.5850475576612003,0.6117322107307587,-1
635,635,2024-09-21 02:00:00,0.6549042399959532,0.5094418511693055,-1
648,648,2024-09-21 22:00:00,0.5139542247762354,0.6377386606413911,-1
650,650,2024-09-22 00:00:00,0.5678659916515841,0.699711477449706,-1
656,656,2024-09-22 11:00:00,0.386352753522299,0.7080114082722486,-1
661,661,2024-09-22 21:00:00,0.3431240397430303,0.7744108548525875,-1
663,663,2024-09-23 00:00:00,0.265506111434042,0.7868607510864015,-1
665,665,2024-09-23 02:00:00,0.0887541968139632,0.7951606819089426,-1
668,668,2024-09-23 06:00:00,-0.1936255097725925,0.7628831731546118,-1
670,670,2024-09-23 10:00:00,-0.1799146595180395,0.5493066704230305,-1
709,709,2024-09-25 23:00:00,0.2479827474268388,0.1999066688153325,-1
723,723,2024-09-26 18:00:00,-0.3022783591195896,0.5420127918214032,-1
736,736,2024-09-27 15:00:00,-0.551508858737328,0.7965440037127004,-1
737,737,2024-09-27 18:00:00,-0.5099924072126013,0.782207759564673,-1
738,738,2024-09-27 19:00:00,-0.4379523807584816,0.6399438383403213,-1
740,740,2024-09-28 01:00:00,0.2282503839616219,0.1624292888704691,-1
748,748,2024-09-28 18:00:00,-0.4405779191650539,0.0525144906919439,-1
749,749,2024-09-28 19:00:00,-0.6615000358522543,0.1938367082583789,-1
753,753,2024-09-29 03:00:00,-0.4865452498309301,0.1526845552751135,-1
755,755,2024-09-29 05:00:00,-0.6109718626969396,0.1668559186424912,-1
757,757,2024-09-29 07:00:00,-0.7958786387579265,0.1694381193428374,-1
762,762,2024-09-29 17:00:00,-0.5416351298579625,0.1995637941802139,-1
764,764,2024-09-29 19:00:00,-0.4627569761384051,0.4354970129321104,-1
770,770,2024-09-30 07:00:00,-0.233682122638841,0.4269665284756084,-1
772,772,2024-09-30 12:00:00,-0.4253278096089555,0.4801091411032759,-1
773,773,2024-09-30 13:00:00,-0.586523476033405,0.5795674170863634,-1
792,792,2024-10-02 07:00:00,-0.3409842579865085,0.4963631722974208,-1
795,795,2024-10-02 11:00:00,-0.3161644897079945,0.3916918224798033,-1
796,796,2024-10-02 13:00:00,-0.2471247091588865,0.3066175315487454,-1
797,797,2024-10-02 16:00:00,-0.2974620418477348,0.3325615963584232,-1
801,801,2024-10-02 20:00:00,-1.8804236187874948,2.282231620947772,-1
809,809,2024-10-03 05:00:00,-1.3302521723896028,1.9530010316535948,-1
811,811,2024-10-03 07:00:00,-0.7693423358327626,1.4508552168897852,-1
812,812,2024-10-03 08:00:00,-0.7612863234180204,1.4508552168897852,-1
814,814,2024-10-03 11:00:00,-0.8858241238116769,1.487651576869723,-1
815,815,2024-10-03 14:00:00,-1.1428171242334808,1.619774179370785,-1
817,817,2024-10-03 19:00:00,-0.8257928434422891,1.73244766156708,-1
818,818,2024-10-03 20:00:00,-1.0951338459261293,1.9118352828038587,-1
819,819,2024-10-04 00:00:00,-1.353160195099551,2.0567501669353727,-1
821,821,2024-10-04 02:00:00,-1.2485222097963924,1.9973441805851384,-1
823,823,2024-10-04 04:00:00,-1.2061697076960871,1.8445486022390407,-1
827,827,2024-10-04 08:00:00,-1.3864396259984773,1.8592543771066743,-1
834,834,2024-10-05 00:00:00,-1.82072613276908,2.4930729192037435,-1
835,835,2024-10-05 01:00:00,-1.781027412738676,2.3854274275080485,-1
836,836,2024-10-05 02:00:00,-1.6493619929361891,2.146863701580118,-1
837,837,2024-10-05 03:00:00,-1.437869132162158,1.6519556241109667,-1
838,838,2024-10-05 04:00:00,-1.001562666301868,0.9940131911990197,-1
972,972,2024-10-13 12:00:00,-1.2803849254045607,0.5634542797796376,-1
976,976,2024-10-13 23:00:00,-0.7457651357167877,1.0307864958155606,-1
985,985,2024-10-15 04:00:00,-1.0416411746847198,0.7246112699173334,-1
995,995,2024-10-15 15:00:00,-0.881870813048933,0.8435769450404401,-1
997,997,2024-10-15 17:00:00,-1.689498121275684,1.34987272521552,-1
999,999,2024-10-15 22:00:00,-1.1388397332362794,0.8765790509300727,-1
1000,1000,2024-10-16 00:00:00,-0.7375149277096027,0.6048386570753685,-1
1033,1033,2024-10-17 22:00:00,-1.336705672007518,0.4482927396168628,-1
1036,1036,2024-10-18 02:00:00,-0.7413128156480279,0.0550835168989215,-1
1051,1051,2024-10-19 04:00:00,-0.1037594127315137,0.3343608188352064,-1
1053,1053,2024-10-19 06:00:00,0.0867957850096245,0.3752237057684107,-1
1054,1054,2024-10-19 07:00:00,0.056225653696269,0.4361886738339888,-1
1055,1055,2024-10-19 08:00:00,-0.0752420445372148,0.5109868599371381,-1
1060,1060,2024-10-19 13:00:00,0.4665771720775263,0.5381394907708826,-1
1063,1063,2024-10-19 17:00:00,0.994213084246106,0.5206481550744888,-1
1067,1067,2024-10-20 01:00:00,1.996949089530177,0.0840519029070105,-1
1073,1073,2024-10-20 14:00:00,2.4214088478824416,0.1596177807720214,-1
1076,1076,2024-10-20 19:00:00,2.1291939243053988,0.2976259398243239,-1
1078,1078,2024-10-20 21:00:00,2.4972800140941107,0.0094338973749386,-1
1096,1096,2024-10-24 18:00:00,2.1747011580446274,0.2851760435905105,-1
1097,1097,2024-10-24 19:00:00,1.9725929363022052,0.3822391234874637,-1
1099,1099,2024-10-24 21:00:00,1.952635541571642,0.3248312686315462,-1
1103,1103,2024-10-25 04:00:00,1.3742889988712377,0.2993166664733606,-1
1107,1107,2024-10-25 08:00:00,0.8834697578747742,0.7243477800499512,-1
1110,1110,2024-10-25 12:00:00,0.3379229046052438,1.2458930362997824,-1
1119,1119,2024-10-26 02:00:00,0.0899673913849627,1.7418558217892226,-1
1123,1123,2024-10-26 06:00:00,-0.2684523444883319,1.7477160759760482,-1
1126,1126,2024-10-26 12:00:00,-0.4878044067043052,2.092024872931179,-1
1127,1127,2024-10-26 16:00:00,-0.5918150742402974,2.251798541265117,-1
1129,1129,2024-10-26 20:00:00,-0.4820934690739566,1.8962219594357472,-1
1136,1136,2024-10-27 05:00:00,0.4473945661541058,1.206007257624787,-1
1137,1137,2024-10-27 07:00:00,0.4219634650398444,1.2060072576247884,-1
1138,1138,2024-10-27 08:00:00,0.4596147975465138,1.194940683194731,-1
1144,1144,2024-10-27 17:00:00,0.3347836610468235,0.9577009938503966,-1
1149,1149,2024-10-28 01:00:00,0.6815458976854541,0.188989067502604,-1
1150,1150,2024-10-28 02:00:00,0.7039891220152387,0.1716283788654532,-1
1153,1153,2024-10-28 05:00:00,0.6751295167950662,0.0523168732914075,-1
1154,1154,2024-10-28 06:00:00,0.6394028530427347,0.052316873291408,-1
1161,1161,2024-10-28 19:00:00,0.2519858971926964,0.5021731238731996,-1
1163,1163,2024-10-28 21:00:00,0.1533264875058547,0.5812340335514562,-1
1164,1164,2024-10-28 22:00:00,0.3430107335860612,0.2349153513873382,-1
1167,1167,2024-10-29 02:00:00,0.4834366272844796,0.1723200397673316,-1
1168,1168,2024-10-29 03:00:00,0.5799086059045969,0.0783694339288323,-1
1169,1169,2024-10-29 04:00:00,0.4399864986034518,0.052072757678979,-1
1179,1179,2024-10-29 15:00:00,-0.2611316876222839,0.109724728147325,-1
1213,1213,2024-10-31 14:00:00,-1.426907538122416,0.45901348359598,-1
1214,1214,2024-10-31 15:00:00,-1.4811924853690457,0.5710625497003009,-1
1219,1219,2024-10-31 23:00:00,-1.1479410180806164,0.7608543011757686,-1
1220,1220,2024-11-01 00:00:00,-1.0201377072283726,0.6984664878263256,-1
1228,1228,2024-11-01 11:00:00,-1.0525380601195176,0.7149280172910345,-1
1233,1233,2024-11-01 20:00:00,-1.8585420780812325,1.2809371886616276,-1
1241,1241,2024-11-02 05:00:00,-0.9136569339943624,0.3061564242808263,-1
1246,1246,2024-11-02 10:00:00,-1.34184391696452,0.2777983273038066,-1
1247,1247,2024-11-02 13:00:00,-1.4413756958895931,0.3185656345792347,-1
1248,1248,2024-11-02 15:00:00,-1.3020261752654667,0.1221746243811384,-1
1328,1328,2024-11-07 15:00:00,-0.9863031333289864,0.1674092473639942,-1
1332,1332,2024-11-08 01:00:00,-0.6161472813830103,0.3071939156336442,-1
1336,1336,2024-11-08 07:00:00,-0.5996830492474735,0.3137646942014901,-1
1338,1338,2024-11-08 09:00:00,-0.4743849905438833,0.3145192333671751,-1
1340,1340,2024-11-08 11:00:00,-0.5018733846459661,0.3690975663517719,-1
1343,1343,2024-11-08 14:00:00,-0.3677455036896938,0.3418922375445496,-1
1349,1349,2024-11-08 23:00:00,-0.3747118139420538,0.3566476701179585,-1
1350,1350,2024-11-09 00:00:00,-0.3522250314626469,0.3566476701179585,-1
1354,1354,2024-11-09 04:00:00,-0.1825095447850947,0.2931301439621137,-1
1355,1355,2024-11-09 06:00:00,-0.2943901030228459,0.275031683696292,-1
1358,1358,2024-11-09 09:00:00,-0.3308714967167242,0.1931082924293467,-1
1389,1389,2024-11-10 23:00:00,-1.918655489870816,0.4562468399884659,-1
1394,1394,2024-11-11 06:00:00,-0.9362167143209684,0.4783799888485787,-1
1403,1403,2024-11-11 23:00:00,-2.2064236222501474,1.9783619313891383,-1
